"rep","param","n_param","n_covered","pct","mean_width","sum_width"
8,"dist_cnt",1500,1228,81.8666666666667,2.37979411934094,3569.69117901141
8,"dist_con",1500,1236,82.4,2.25067109353302,3376.00664029953
8,"dist_ord",1500,1353,90.2,2.494496241766,3741.744362649
8,"OVERALL",6220,5401,86.8327974276527,2.378758706499,14795.8791544238
8,"u",10,10,100,0,0
9,"alpha",150,120,80,1.90844378868265,286.266568302397
9,"beta1",10,9,90,1.31494562459038,13.1494562459038
9,"beta2",10,10,100,1.14007945894035,11.4007945894035
9,"beta3",10,3,30,1.2500342696905,12.500342696905
9,"delta",30,27,90,1.80207863655259,54.0623590965776
9,"dist_bin",1500,1411,94.0666666666667,2.49063545803792,3735.95318705688
9,"dist_cnt",1500,1220,81.3333333333333,2.37320707810059,3559.81061715089
9,"dist_con",1500,1242,82.8,2.24945002723686,3374.17504085529
9,"dist_ord",1500,1340,89.3333333333333,2.4897656595779,3734.64848936685
9,"OVERALL",6220,5392,86.6881028938907,2.37652200246963,14781.9668553611
9,"u",10,10,100,0,0
10,"alpha",150,120,80,1.91856666662805,287.784999994207
10,"beta1",10,9,90,1.30117139743693,13.0117139743693
10,"beta2",10,10,100,1.10611710372261,11.0611710372261
10,"beta3",10,2,20,1.22856507266655,12.2856507266655
10,"delta",30,27,90,1.8162585522287,54.4877565668611
10,"dist_bin",1500,1404,93.6,2.47953244123812,3719.29866185718
10,"dist_cnt",1500,1229,81.9333333333333,2.37804559817631,3567.06839726446
10,"dist_con",1500,1234,82.2666666666667,2.24302810255061,3364.54215382592
10,"dist_ord",1500,1341,89.4,2.49753050009675,3746.29575014513
10,"OVERALL",6220,5386,86.5916398713826,2.37553637546495,14775.836255392
10,"u",10,10,100,0,0
