"criterion","rep","param","n_param","n_covered","pct","mean_width"
"Q1",5,"OVERALL",6180,4797,77.621359223301,2.90810182960974
"Q1",6,"alpha",150,126,84,2.57270900034954
"Q1",6,"beta",30,20,66.6666666666667,1.86804916358988
"Q1",6,"dist",6000,4688,78.1333333333333,2.93213654420141
"Q1",6,"OVERALL",6180,4834,78.2200647249191,2.91824710196903
"Q1",7,"alpha",150,124,82.6666666666667,2.56912882152993
"Q1",7,"beta",30,20,66.6666666666667,1.85412591759232
"Q1",7,"dist",6000,4660,77.6666666666667,2.9211468001786
"Q1",7,"OVERALL",6180,4804,77.7346278317152,2.90742296146098
"Q1",8,"alpha",150,128,85.3333333333333,2.57642528129291
"Q1",8,"beta",30,20,66.6666666666667,1.83475186623667
"Q1",8,"dist",6000,4677,77.95,2.91757482028944
"Q1",8,"OVERALL",6180,4825,78.0744336569579,2.90403806956596
"Q1",9,"alpha",150,125,83.3333333333333,2.57470070889642
"Q1",9,"beta",30,20,66.6666666666667,1.83182350642751
"Q1",9,"dist",6000,4656,77.6,2.92389086724547
"Q1",9,"OVERALL",6180,4801,77.6860841423948,2.9101140800971
"Q1",10,"alpha",150,126,84,2.58090046102867
"Q1",10,"beta",30,19,63.3333333333333,1.85481872171119
"Q1",10,"dist",6000,4666,77.7666666666667,2.9297000272961
"Q1",10,"OVERALL",6180,4811,77.8478964401294,2.91601614799065
"Q2",1,"alpha",150,130,86.6666666666667,2.57758345555958
"Q2",1,"beta",30,21,70,1.61142787717733
"Q2",1,"dist",6000,4745,79.0833333333333,2.85707829368434
"Q2",1,"OVERALL",6180,4896,79.2233009708738,2.84424759170798
"Q2",2,"alpha",150,130,86.6666666666667,2.58052144416188
"Q2",2,"beta",30,21,70,1.63154266901592
"Q2",2,"dist",6000,4756,79.2666666666667,2.86918628102889
"Q2",2,"OVERALL",6180,4907,79.4012944983819,2.8561718742505
"Q2",3,"alpha",150,130,86.6666666666667,2.57404445053834
"Q2",3,"beta",30,21,70,1.61649794652324
"Q2",3,"dist",6000,4737,78.95,2.85589934955897
"Q2",3,"OVERALL",6180,4888,79.0938511326861,2.843041699568
"Q2",4,"alpha",150,128,85.3333333333333,2.57758495169644
"Q2",4,"beta",30,21,70,1.64478236379447
"Q2",4,"dist",6000,4765,79.4166666666667,2.87547985855292
"Q2",4,"OVERALL",6180,4914,79.5145631067961,2.86227513996534
"Q2",5,"alpha",150,129,86,2.57460825754585
"Q2",5,"beta",30,21,70,1.63287843809344
"Q2",5,"dist",6000,4767,79.45,2.87495288204676
"Q2",5,"OVERALL",6180,4917,79.5631067961165,2.86163347638434
"Q2",6,"alpha",150,130,86.6666666666667,2.57242563306197
"Q2",6,"beta",30,21,70,1.63543311948155
"Q2",6,"dist",6000,4748,79.1333333333333,2.86585434043068
"Q2",6,"OVERALL",6180,4899,79.2718446601942,2.85275936587828
"Q2",7,"alpha",150,129,86,2.58719614145265
"Q2",7,"beta",30,21,70,1.63235005066097
"Q2",7,"dist",6000,4745,79.0833333333333,2.8704916311138
"Q2",7,"OVERALL",6180,4895,79.2071197411003,2.8576051309742
"Q2",8,"alpha",150,130,86.6666666666667,2.57939204984364
"Q2",8,"beta",30,21,70,1.61096758021769
"Q2",8,"dist",6000,4758,79.3,2.86198897427441
"Q2",8,"OVERALL",6180,4909,79.4336569579288,2.84905690623455
"Q2",9,"alpha",150,131,87.3333333333333,2.56787926421327
"Q2",9,"beta",30,21,70,1.63342625193735
"Q2",9,"dist",6000,4747,79.1166666666667,2.86112175956835
"Q2",9,"OVERALL",6180,4899,79.2718446601942,2.84804453634308
"Q2",10,"alpha",150,131,87.3333333333333,2.59174289359075
"Q2",10,"beta",30,21,70,1.66190878270715
"Q2",10,"dist",6000,4752,79.2,2.86956690313489
"Q2",10,"OVERALL",6180,4904,79.3527508090615,2.85696118387203
"Q3",1,"alpha",150,138,92,2.61742763004586
