"item","cluster","uncertainty","z.1","z.2","z.3","z.4","z.5","z.6","z.7","z.8","F1","F2","F3"
"B4Q1S",3,0,0,0,1,0,0,0,0,0,-1.8417,-3.2363,0.923
"B4Q1X",6,5e-04,0,0,0,0,0,0.999,0,0,-2.6092,-1.2027,-0.8477
"B4Q1BB",8,0,0,0,0,0,0,0,0,1,3.7118,-2.1456,-0.4125
"B4Q1DD",6,0.0011,0,0,0.001,0,0,0.999,0,0,-2.7655,-1.0557,-0.7487
"B4Q1KK",6,2e-04,0,0,0,0,0,1,0,0,-2.1616,-0.6003,-1.2816
"B4Q1NN",1,0,1,0,0,0,0,0,0,0,-1.6856,-1.667,-1.173
"B4Q1PP",8,0,0,0,0,0,0,0,0,1,0.2608,-3.9844,0.7547
"B4Q1RR",1,0,1,0,0,0,0,0,0,0,1.8517,-2.7412,-0.8581
"B4Q1TT",1,1e-04,1,0,0,0,0,0,0,0,-1.4162,-2.7601,-0.4985
"B4Q1VV",7,0,0,0,0,0,0,0,1,0,-0.5102,3.5554,0.6133
"B4Q1ZZ",2,0,0,1,0,0,0,0,0,0,-0.1105,1.6802,-1.7717
"B4Q1BBB",1,9e-04,0.999,0,0.001,0,0,0,0,0,-1.6102,-2.6876,-0.4764
"B4Q1JJJ",3,0.1542,0.154,0,0.846,0,0,0,0,0,-2.1747,-2.4109,-0.3648
